cluster,gene
APOD Fib,TXNIP
APOD Fib,CRISPLD2
APOD Fib,SPARCL1
APOD Fib,TLL2
APOD Fib,ITM2B
APOD Fib,MTUS1
APOD Fib,MGST1
APOD Fib,CFD
APOD Fib,ACSM3
APOD Fib,PDGFRL
APOD Fib,APP
APOD Fib,SCN7A
APOD Fib,EGFR
APOD Fib,CDH19
APOD Fib,DIO2
APOD Fib,COLEC12
APOD Fib,YBX3
APOD Fib,GLUL
APOD Fib,MYOC
APOD Fib,HSD17B11
APOD Fib,LPCAT2
APOD Fib,RARRES1
APOD Fib,FGFBP2
APOD Fib,RNF24
APOD Fib,LARP6
APOD Fib,CYP4B1
APOD Fib,PGF
APOD Fib,ABCA6
APOD Fib,TM4SF1
APOD Fib,HSD11B1
APOD Fib,GAS7
APOD Fib,GPX3
APOD Fib,PLPP3
APOD Fib,NEGR1
APOD Fib,ABCA10
APOD Fib,PLXDC1
APOD Fib,IGFBP3
APOD Fib,LSP1
APOD Fib,ABLIM1
APOD Fib,C3
APOD Fib,SPON2
APOD Fib,EFHD1
APOD Fib,TPCN1
APOD Fib,CEBPD
APOD Fib,KIAA0040
APOD Fib,SRPX
APOD Fib,ABCA9
APOD Fib,RDH10
APOD Fib,ITIH5
APOD Fib,TSC22D3
APOD Fib,VEGFD
APOD Fib,SMOC2
APOD Fib,GALNT15
APOD Fib,RASSF4
APOD Fib,WNT2B
APOD Fib,HSPA1A
APOD Fib,HSPA1B
APOD Fib,ADH1B
GDF15 Fib,ATF5
GDF15 Fib,TRIB3
GDF15 Fib,GDF15
GDF15 Fib,PSAT1
GDF15 Fib,SLC7A11
GDF15 Fib,KCNG1
GDF15 Fib,MYH15
GDF15 Fib,XPOT
GDF15 Fib,ASNS
GDF15 Fib,WARS
